0.15	291.58
0.04	328.28
0.04	26.74
-0.06	31.17
-0.04	51.27
-0.14	52.56
-0.13	76.17
0.06	237.36
0.04	244.36
0.08	257.64
0.08	272.03
-0.03	328.46
0.03	333.07
0.04	18.27
0.04	22.88
-0.12	46.68
-0.09	58.12
-0.13	78.24
-0.06	94.11
0.09	231.76
0.06	234.34
0.10	265.34
0.05	279.18
0.04	329.00
0.04	14.02
0.04	18.44
0.04	22.87
0.04	31.91
-0.16	46.48
0.04	67.68
-0.13	77.83
-0.06	78.57
0.07	236.07
0.03	241.23
0.06	241.41
0.05	285.12
0.06	285.68
0.03	329.20
0.03	18.82
0.04	23.43
0.04	27.86
-0.10	34.14
-0.06	49.82
-0.06	60.71
-0.05	70.86
-0.19	83.59
-0.04	97.98
0.12	228.44
0.04	323.46
-0.06	73.03
-0.16	79.30
0.11	239.75
0.05	275.72
0.04	23.79
-0.04	58.65
-0.12	71.74
0.03	77.83
-0.07	80.78
0.08	230.16
0.07	238.65
0.04	248.24
0.06	278.11
0.07	287.89
-0.08	40.23
-0.13	76.21
0.04	78.24
0.04	82.85
-0.09	84.70
-0.13	108.68
0.07	220.13
0.05	223.45
0.04	223.82
0.09	255.56
0.04	19.92
0.04	24.34
0.04	28.77
-0.18	45.37
